] invoer
[11/19/14 12:17:37] invoer
[11/24/14 14:03:19] invoer
[11/25/14 13:35:55] invoer
[11/26/14 11:34:57] 1.33
[11/26/14 11:34:57] 2
[11/26/14 11:34:57] sdfsdf
[11/26/14 11:35:16] 1.33
[11/26/14 11:35:16] 2
[11/26/14 11:35:16] sdfsdf
[12/08/14 15:02:21] Hello World!
[12/08/14 15:06:20] Hello World!
[12/08/14 15:06:20] Fawaka kernel
[12/08/14 15:06:40] Hello World!
[12/08/14 15:06:41] Fawaka kernel
[12/08/14 15:11:38] Hello World!
[12/08/14 15:11:40] Fawaka kernel
[12/08/14 15:12:32] Hello World!
[12/08/14 15:12:39] Fawaka kernel
[12/08/14 15:25:03] Hello World!
[12/08/14 15:25:04] Fawaka kernel
[12/09/14 11:39:12] Hello World!
[12/09/14 11:39:13] Fawaka kernel
[12/09/14 12:09:19] Hello World!
[12/09/14 12:09:21] Fawaka kernel
[12/09/14 12:34:07] Hello World!
[12/09/14 12:34:10] Fawaka kernel
[12/09/14 12:35:35] Hello World!
[12/09/14 12:35:36] Fawaka kernel
